Entry,U clean,V clean,Y clean,
0,1,1,1,
1,0,1,0,
2,1,0,1,
3,1,0,1,
4,0,0,0,
5,1,0,1,
6,0,0,0,
7,0,0,0,empty
8,1,0,1,
9,0,1,0,
10,1,1,1,
11,1,0,1,
12,0,1,0,
13,1,1,1,
14,1,1,0,
15,0,0,0,beautiful ccqe
16,1,1,1,
17,0,0,0,
18,1,1,1,
19,1,1,1,
20,0,0,0,
21,1,1,0,
22,1,1,1,
23,1,1,1,might be empty
24,0,0,1,
25,0,0,1,
26,0,0,1,
27,1,0,1,
28,0,0,0,
29,0,0,0,
30,0,0,1,
31,0,1,0,
32,0,0,0,
33,1,1,1,
34,0,0,0,pretty
35,0,1,1,
36,1,1,1,
37,1,1,1,
38,0,1,0,
39,1,1,1,
40,0,1,1,
41,0,1,1,
42,1,0,1,
43,1,0,1,
44,1,0,1,
45,1,1,1,
46,0,1,1,